Title,Price,Location,Link,Distance,Review_Score,Review_Score_,Number_Of_Reviews,Room_Type,Max_Persons,Room_Info,Rooms_Left,Details,Field
"Treebo Trend Hotel Sripadha Residency Alipiri Road
Opens in new window","₹ 9,504",Tirupati,https://www.booking.com/hotel/in/sripada-residency-tirupati-andhra-pradesh.en-gb.html?label=gog235jc-1BCAEoggI46AdIM1gDaGyIAQGYAQm4ARfIAQzYAQHoAQGIAgGoAgO4ArKb5JIGwAIB0gIkNDE4NWEzOGQtZGJiZS00M2QyLWE3NDQtOTM2YjA4NzhhOWJl2AIF4AIB&sid=06763ff078a11c6e165294d8db9632ab&aid=397594&ucfs=1&arphpl=1&checkin=2022-04-22&checkout=2022-04-25&dest_id=-2113256&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=1&sr_order=popularity&srpvid=0bc02c443b1501db&srepoch=1650003466&all_sr_blocks=791664207_350666513_2_1_0&highlighted_blocks=791664207_350666513_2_1_0&matching_block_id=791664207_350666513_2_1_0&sr_pri_blocks=791664207_350666513_2_1_0__950415&from=searchresults#hotelTmpl,2.4 km from centre,8.0,Very good ,64 reviews,Deluxe Double Room,"3 nights, 2 adults",1 extra-large double bed,Only 1 room left at this price on our site,"Deluxe Double Room
1 extra-large double bed
Breakfast included
Free cancellation
You can cancel later, so lock in this great price today.
Only 1 room left at this price on our site",
"MG IRIS HOTEL
Opens in new window","₹ 8,100",Tirupati,https://www.booking.com/hotel/in/mg-iris.en-gb.html?label=gog235jc-1BCAEoggI46AdIM1gDaGyIAQGYAQm4ARfIAQzYAQHoAQGIAgGoAgO4ArKb5JIGwAIB0gIkNDE4NWEzOGQtZGJiZS00M2QyLWE3NDQtOTM2YjA4NzhhOWJl2AIF4AIB&sid=06763ff078a11c6e165294d8db9632ab&aid=397594&ucfs=1&arphpl=1&checkin=2022-04-22&checkout=2022-04-25&dest_id=-2113256&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=2&hapos=2&sr_order=popularity&srpvid=0bc02c443b1501db&srepoch=1650003466&all_sr_blocks=750912901_331508780_2_1_0&highlighted_blocks=750912901_331508780_2_1_0&matching_block_id=750912901_331508780_2_1_0&sr_pri_blocks=750912901_331508780_2_1_0__810000&from=searchresults#hotelTmpl,300 m from centre,7.6,Good ,138 reviews,Budget Double or Twin Room,"3 nights, 2 adults",2 single beds,,"Budget Double or Twin Room
2 single beds
Breakfast included
FREE cancellation • No prepayment needed
You can cancel later, so lock in this great price today.",
"Marasa Sarovar Premiere
Opens in new window","₹ 19,440",Tirupati,https://www.booking.com/hotel/in/marasa-sarovar-premiere.en-gb.html?label=gog235jc-1BCAEoggI46AdIM1gDaGyIAQGYAQm4ARfIAQzYAQHoAQGIAgGoAgO4ArKb5JIGwAIB0gIkNDE4NWEzOGQtZGJiZS00M2QyLWE3NDQtOTM2YjA4NzhhOWJl2AIF4AIB&sid=06763ff078a11c6e165294d8db9632ab&aid=397594&ucfs=1&arphpl=1&checkin=2022-04-22&checkout=2022-04-25&dest_id=-2113256&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=3&hapos=3&sr_order=popularity&srpvid=0bc02c443b1501db&srepoch=1650003466&all_sr_blocks=130089002_296891511_2_42_0&highlighted_blocks=130089002_296891511_2_42_0&matching_block_id=130089002_296891511_2_42_0&sr_pri_blocks=130089002_296891511_2_42_0__1944000&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,3.1 km from centre,7.2,Good ,873 reviews,Deluxe Double Room,"3 nights, 2 adults","2 beds (1 double, 1 futon)",,"Deluxe Double Room
2 beds (1 double, 1 futon)
Free cancellation
You can cancel later, so lock in this great price today.",
"Taj Tirupati
Opens in new window","₹ 27,000",Tirupati,https://www.booking.com/hotel/in/taj-tirupati.en-gb.html?label=gog235jc-1BCAEoggI46AdIM1gDaGyIAQGYAQm4ARfIAQzYAQHoAQGIAgGoAgO4ArKb5JIGwAIB0gIkNDE4NWEzOGQtZGJiZS00M2QyLWE3NDQtOTM2YjA4NzhhOWJl2AIF4AIB&sid=06763ff078a11c6e165294d8db9632ab&aid=397594&ucfs=1&arphpl=1&checkin=2022-04-22&checkout=2022-04-25&dest_id=-2113256&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=4&hapos=4&sr_order=popularity&srpvid=0bc02c443b1501db&srepoch=1650003466&all_sr_blocks=573339801_342262871_2_42_0&highlighted_blocks=573339801_342262871_2_42_0&matching_block_id=573339801_342262871_2_42_0&sr_pri_blocks=573339801_342262871_2_42_0__2700000&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,3.2 km from centre,8.4,Very good ,493 reviews,Superior King Room,"3 nights, 2 adults",1 extra-large double bed,,"Superior King Room
1 extra-large double bed
Free cancellation
You can cancel later, so lock in this great price today.",
"Raj Park- Hill View
Opens in new window","₹ 10,659",Tirupati,https://www.booking.com/hotel/in/raj-park-tirupati.en-gb.html?label=gog235jc-1BCAEoggI46AdIM1gDaGyIAQGYAQm4ARfIAQzYAQHoAQGIAgGoAgO4ArKb5JIGwAIB0gIkNDE4NWEzOGQtZGJiZS00M2QyLWE3NDQtOTM2YjA4NzhhOWJl2AIF4AIB&sid=06763ff078a11c6e165294d8db9632ab&aid=397594&ucfs=1&arphpl=1&checkin=2022-04-22&checkout=2022-04-25&dest_id=-2113256&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=5&hapos=5&sr_order=popularity&srpvid=0bc02c443b1501db&srepoch=1650003466&all_sr_blocks=73436402_288290861_2_1_0&highlighted_blocks=73436402_288290861_2_1_0&matching_block_id=73436402_288290861_2_1_0&sr_pri_blocks=73436402_288290861_2_1_0__1065900&from=searchresults#hotelTmpl,2.3 km from centre,7.2,Good ,193 reviews,Superior Double or Twin Room,"3 nights, 2 adults",Multiple bed types,,"Superior Double or Twin Room
Multiple bed types
Breakfast included
FREE cancellation • No prepayment needed
You can cancel later, so lock in this great price today.
Only 6 rooms left at this price on our site",
"Hotel Mount View Comforts
Opens in new window","₹ 10,962",Tirupati,https://www.booking.com/hotel/in/mountview-comforts.en-gb.html?label=gog235jc-1BCAEoggI46AdIM1gDaGyIAQGYAQm4ARfIAQzYAQHoAQGIAgGoAgO4ArKb5JIGwAIB0gIkNDE4NWEzOGQtZGJiZS00M2QyLWE3NDQtOTM2YjA4NzhhOWJl2AIF4AIB&sid=06763ff078a11c6e165294d8db9632ab&aid=397594&ucfs=1&arphpl=1&checkin=2022-04-22&checkout=2022-04-25&dest_id=-2113256&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=6&hapos=6&sr_order=popularity&srpvid=0bc02c443b1501db&srepoch=1650003466&all_sr_blocks=704484310_331254547_0_2_0&highlighted_blocks=704484310_331254547_0_2_0&matching_block_id=704484310_331254547_0_2_0&sr_pri_blocks=704484310_331254547_0_2_0__1096200&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,2 km from centre,9.0,Superb ,51 reviews,Deluxe Room,"3 nights, 2 adults","3 beds (2 singles, 1 extra-large double)",,"Deluxe Room
3 beds (2 singles, 1 extra-large double)
Free cancellation
You can cancel later, so lock in this great price today.
Only 7 rooms left at this price on our site",
"Treebo Trend SLS Grand
Opens in new window","₹ 6,439",Tirupati,https://www.booking.com/hotel/in/treebo-trend-sls-grand.en-gb.html?label=gog235jc-1BCAEoggI46AdIM1gDaGyIAQGYAQm4ARfIAQzYAQHoAQGIAgGoAgO4ArKb5JIGwAIB0gIkNDE4NWEzOGQtZGJiZS00M2QyLWE3NDQtOTM2YjA4NzhhOWJl2AIF4AIB&sid=06763ff078a11c6e165294d8db9632ab&aid=397594&ucfs=1&arphpl=1&checkin=2022-04-22&checkout=2022-04-25&dest_id=-2113256&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=7&hapos=7&sr_order=popularity&srpvid=0bc02c443b1501db&srepoch=1650003466&all_sr_blocks=547986201_350617567_2_1_0&highlighted_blocks=547986201_350617567_2_1_0&matching_block_id=547986201_350617567_2_1_0&sr_pri_blocks=547986201_350617567_2_1_0__643897&from=searchresults#hotelTmpl,450 m from centre,7.0,Good ,465 reviews,[Sanitized] Standard Double or Twin Room,"3 nights, 2 adults",Multiple bed types,,"[Sanitized] Standard Double or Twin Room
Multiple bed types
Breakfast included
Free cancellation
You can cancel later, so lock in this great price today.",
"OYO 67796 Sree Guru Lakshmi Residency
Opens in new window","₹ 4,922",Tirupati,https://www.booking.com/hotel/in/oyo-67796-sree-guru-lakshmi-residency.en-gb.html?label=gog235jc-1BCAEoggI46AdIM1gDaGyIAQGYAQm4ARfIAQzYAQHoAQGIAgGoAgO4ArKb5JIGwAIB0gIkNDE4NWEzOGQtZGJiZS00M2QyLWE3NDQtOTM2YjA4NzhhOWJl2AIF4AIB&sid=06763ff078a11c6e165294d8db9632ab&aid=397594&ucfs=1&arphpl=1&checkin=2022-04-22&checkout=2022-04-25&dest_id=-2113256&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=8&hapos=8&sr_order=popularity&srpvid=0bc02c443b1501db&srepoch=1650003466&all_sr_blocks=618315902_348342639_2_0_0&highlighted_blocks=618315902_348342639_2_0_0&matching_block_id=618315902_348342639_2_0_0&sr_pri_blocks=618315902_348342639_2_0_0__492187&from=searchresults#hotelTmpl,0.5 km from centre,7.5,Good ,40 reviews,Deluxe Triple Room,"3 nights, 2 adults",1 extra-large double bed,,"Deluxe Triple Room
1 extra-large double bed
Free cancellation
You can cancel later, so lock in this great price today.",
"HOTEL RAMCHARAN RESIDENCY, TIRUPATi
Opens in new window","₹ 7,200",Tirupati,https://www.booking.com/hotel/in/ramcharan-residency-thirupathi.en-gb.html?label=gog235jc-1BCAEoggI46AdIM1gDaGyIAQGYAQm4ARfIAQzYAQHoAQGIAgGoAgO4ArKb5JIGwAIB0gIkNDE4NWEzOGQtZGJiZS00M2QyLWE3NDQtOTM2YjA4NzhhOWJl2AIF4AIB&sid=06763ff078a11c6e165294d8db9632ab&aid=397594&ucfs=1&arphpl=1&checkin=2022-04-22&checkout=2022-04-25&dest_id=-2113256&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=9&hapos=9&sr_order=popularity&srpvid=0bc02c443b1501db&srepoch=1650003466&all_sr_blocks=564082307_218017677_2_1_0&highlighted_blocks=564082307_218017677_2_1_0&matching_block_id=564082307_218017677_2_1_0&sr_pri_blocks=564082307_218017677_2_1_0__720000&from=searchresults#hotelTmpl,2.3 km from centre,7.9,Good ,168 reviews,Superior Double Room,"3 nights, 2 adults",1 large double bed,,"Superior Double Room
1 large double bed
Breakfast included
FREE cancellation • No prepayment needed
You can cancel later, so lock in this great price today.
Only 2 rooms left at this price on our site",
"Fortune Select Grand Ridge - Member ITC Hotel Group
Opens in new window","₹ 14,850",Tirupati,https://www.booking.com/hotel/in/grand-ridge.en-gb.html?label=gog235jc-1BCAEoggI46AdIM1gDaGyIAQGYAQm4ARfIAQzYAQHoAQGIAgGoAgO4ArKb5JIGwAIB0gIkNDE4NWEzOGQtZGJiZS00M2QyLWE3NDQtOTM2YjA4NzhhOWJl2AIF4AIB&sid=06763ff078a11c6e165294d8db9632ab&aid=397594&ucfs=1&arphpl=1&checkin=2022-04-22&checkout=2022-04-25&dest_id=-2113256&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=10&hapos=10&sr_order=popularity&srpvid=0bc02c443b1501db&srepoch=1650003466&all_sr_blocks=47312201_88883444_3_42_0&highlighted_blocks=47312201_88883444_3_42_0&matching_block_id=47312201_88883444_3_42_0&sr_pri_blocks=47312201_88883444_3_42_0__1485000&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,2.8 km from centre,7.4,Good ,693 reviews,Standard Double Room,"3 nights, 2 adults",Multiple bed types,,"Standard Double Room
Multiple bed types",
